geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037128101,6037128101,2021,756,1722,1803.1763
1400000US06037128102,6037128102,2021,1258,1526,1597.9366
1400000US06037128210,6037128210,2021,1531,1574,1648.1995
1400000US06037128220,6037128220,2021,826,1513,1584.3239
1400000US06037128302,6037128302,2021,1288,1392,1457.6199
1400000US06037128303,6037128303,2021,1072,1430,1497.4113
1400000US06037128400,6037128400,2021,758,1886,1974.9073
1400000US06037128500,6037128500,2021,1184,1784,1868.099
1400000US06037128601,6037128601,2021,1364,1459,1527.7783
1400000US06037128602,6037128602,2021,672,1682,1761.2906
1400000US06037128703,6037128703,2021,1285,2118,2217.844
1400000US06037128704,6037128704,2021,386,2201,2304.7566
1400000US06037128801,6037128801,2021,1464,1793,1877.5233
1400000US06037128802,6037128802,2021,1296,1922,2012.6044
1400000US06037128910,6037128910,2021,920,1864,1951.8702
1400000US06037131021,6037131021,2021,832,1385,1450.2899
1400000US06037131022,6037131022,2021,868,1615,1691.1322
1400000US06037131023,6037131023,2021,434,1710,1790.6106
1400000US06037131024,6037131024,2021,505,2083,2181.1941
1400000US06037131100,6037131100,2021,119,2731,2859.7412
1400000US06037131200,6037131200,2021,291,1654,1731.9707
1400000US06037131300,6037131300,2021,308,2488,2605.2861
1400000US06037131400,6037131400,2021,995,1848,1935.116
1400000US06037131600,6037131600,2021,194,1750,1832.4962
1400000US06037131701,6037131701,2021,976,1650,1727.7821
1400000US06037131702,6037131702,2021,385,1860,1947.6816
1400000US06037131801,6037131801,2021,835,1400,1465.9969
1400000US06037131802,6037131802,2021,141,1886,1974.9073
1400000US06037131900,6037131900,2021,321,2585,2706.8586
1400000US06037132001,6037132001,2021,449,1568,1641.9166
1400000US06037132002,6037132002,2021,488,2298,2406.3293
1400000US06037132101,6037132101,2021,953,1625,1701.6036
1400000US06037132102,6037132102,2021,1189,2026,2121.5071
1400000US06037132301,6037132301,2021,1276,1332,1394.7914
1400000US06037132302,6037132302,2021,571,1672,1750.8192
1400000US06037132501,6037132501,2021,720,1778,1861.8162
1400000US06037132502,6037132502,2021,541,1573,1647.1523
1400000US06037132700,6037132700,2021,721,1242,1300.5487
1400000US06037132900,6037132900,2021,580,1967,2059.7258
1400000US06037133000,6037133000,2021,386,2193,2296.3796
1400000US06037133101,6037133101,2021,246,1747,1829.3549
1400000US06037133102,6037133102,2021,917,1559,1632.4923
1400000US06037134001,6037134001,2021,597,1649,1726.735
1400000US06037134002,6037134002,2021,708,1274,1334.0573
1400000US06037134101,6037134101,2021,587,1587,1661.8123
1400000US06037134103,6037134103,2021,544,1434,1501.5997
1400000US06037134104,6037134104,2021,689,1631,1707.8865
1400000US06037134201,6037134201,2021,269,1573,1647.1523
1400000US06037134302,6037134302,2021,248,2864,2999.011
1400000US06037134303,6037134303,2021,524,2402,2515.2319
1400000US06037134304,6037134304,2021,335,1806,1891.1361
1400000US06037134305,6037134305,2021,1160,1539,1611.5496
1400000US06037134306,6037134306,2021,1124,1541,1613.6438
1400000US06037134421,6037134421,2021,158,3501,3666.0396
1400000US06037134422,6037134422,2021,283,3142,3290.116
1400000US06037134423,6037134423,2021,326,3444,3606.3525
1400000US06037134424,6037134424,2021,110,3501,3666.0396
1400000US06037134520,6037134520,2021,1641,1437,1504.7412
1400000US06037134521,6037134521,2021,647,1587,1661.8123
1400000US06037134522,6037134522,2021,1156,1397,1462.8556
1400000US06037134710,6037134710,2021,1342,1517,1588.5125
1400000US06037134720,6037134720,2021,832,1847,1934.0688
1400000US06037134801,6037134801,2021,340,2127,2227.2683
1400000US06037134802,6037134802,2021,218,2750,2879.637
1400000US06037134901,6037134901,2021,398,1368,1432.4885
1400000US06037134904,6037134904,2021,808,1326,1388.5085
1400000US06037134905,6037134905,2021,2269,2694,2820.9971
1400000US06037134906,6037134906,2021,1131,1749,1831.4491
1400000US06037134907,6037134907,2021,1532,2398,2511.0435
1400000US06037135102,6037135102,2021,150,3071,3215.769
1400000US06037135111,6037135111,2021,623,1923,2013.6516
1400000US06037135113,6037135113,2021,1160,2588,2710.0002
1400000US06037135115,6037135115,2021,1173,2055,2151.874
1400000US06037135116,6037135116,2021,932,1974,2067.0557
1400000US06037135201,6037135201,2021,180,2962,3101.6309
1400000US06037135202,6037135202,2021,425,3501,3666.0396
1400000US06037135204,6037135204,2021,209,2753,2882.7783
1400000US06037135205,6037135205,2021,142,3065,3209.4863
1400000US06037137000,6037137000,2021,377,3351,3508.9685
1400000US06037137103,6037137103,2021,1235,2348,2458.6863
1400000US06037137104,6037137104,2021,137,2520,2638.7947
1400000US06037137202,6037137202,2021,897,2113,2212.6084
1400000US06037137203,6037137203,2021,321,2021,2116.2712
1400000US06037137301,6037137301,2021,24,3501,3666.0396
1400000US06037137302,6037137302,2021,152,3501,3666.0396
1400000US06037137401,6037137401,2021,526,2713,2840.8928
1400000US06037137402,6037137402,2021,640,2487,2604.239
1400000US06037137501,6037137501,2021,1266,2443,2558.1648
1400000US06037137502,6037137502,2021,465,2708,2835.657
1400000US06037137504,6037137504,2021,72,3501,3666.0396
1400000US06037138000,6037138000,2021,319,3501,3666.0396
1400000US06037139001,6037139001,2021,1094,2083,2181.1941
1400000US06037139200,6037139200,2021,1010,2006,2100.5642
1400000US06037139301,6037139301,2021,184,3501,3666.0396
1400000US06037139302,6037139302,2021,1497,1838,1924.6447
1400000US06037139303,6037139303,2021,1583,1456,1524.6368
1400000US06037139401,6037139401,2021,808,1530,1602.1252
1400000US06037139402,6037139402,2021,112,3501,3666.0396
1400000US06037139502,6037139502,2021,433,2018,2113.1299
1400000US06037139504,6037139504,2021,1314,1822,1907.8904
1400000US06037139505,6037139505,2021,1185,1712,1792.7048
1400000US06037139506,6037139506,2021,717,1789,1873.3347
1400000US06037139600,6037139600,2021,815,2764,2894.2969
1400000US06037139701,6037139701,2021,523,2840,2973.8796
1400000US06037139703,6037139703,2021,86,3501,3666.0396
